longitude,latitude,county
-97.49279927,29.45641495,Gonzales
-98.6972921,27.04340499,Jim Hogg
-97.68137783,26.92409448,Kenedy
-96.96568735,30.31065065,Lee
-95.85356847,32.21188078,Henderson
-94.14495261,31.79242191,Shelby
-99.45362579,31.77329421,Coleman
-96.40356575,30.2145299,Washington
-99.760574,28.42161168,Dimmit
-99.73029401,33.17824805,Haskell
-99.21236832,33.17753907,Throckmorton
-99.7453851,34.28865227,Hardeman
-102.3517095,34.06861242,Lamb
-98.55841538,31.9490639,Comanche
-102.335157,33.17373729,Terry
-93.85170439,31.34321941,Sabine
-102.6021647,36.27777107,Dallam
-103.693143,31.32307061,Reeves
-102.6378839,32.30506283,Andrews
-94.76169577,32.10803224,Rusk
-101.3547257,35.84000866,Hutchinson
-96.93020993,29.38437003,Lavaca
-103.2518906,29.81205836,Brewster
-96.79467417,32.34839264,Ellis
-97.42646082,28.65708563,Goliad
-99.82061472,30.88981785,Menard
-100.3048937,29.98248216,Edwards
-94.37651432,30.7712607,Tyler
-94.96509786,33.2160906,Titus
-96.28779341,32.59927808,Kaufman
-96.51272568,31.02705415,Robertson
-98.56842256,28.35351091,McMullen
-102.6351246,32.74074537,Gaines
-100.2558584,33.61641863,King
-95.45578479,29.19345387,Brazoria
-99.37359692,32.2977738,Callahan
-95.57224172,30.73899492,Walker
-96.57883268,28.95603133,Jackson
-103.5799063,31.84912973,Loving
-101.5230108,31.36617698,Reagan
-96.67764864,33.62684371,Grayson
-95.67221685,33.38623601,Delta
-97.47790776,31.03778267,Bell
-98.18252382,30.78843382,Burnet
-94.34348771,33.07750446,Cass
-97.61767326,27.72621549,Nueces
-97.64303323,26.47132899,Willacy
-98.70153389,33.98421585,Wichita
-101.3033037,34.07239775,Floyd
-97.72889778,27.43274395,Kleberg
-100.27317,36.27778432,Lipscomb
-97.1324142,31.99079033,Hill
-102.0315032,31.86921148,Midland
-97.20184883,31.55234489,McLennan
-99.21351964,33.61648147,Baylor
-100.255259,33.17842158,Stonewall
-99.34754972,31.19896752,McCulloch
-101.4355097,32.30610232,Howard
-100.9165071,32.74720063,Scurry
-96.14918535,31.70486443,Freestone
-98.0898649,27.73131099,Jim Wells
-101.2998612,33.61459873,Crosby
-96.22197375,29.2778362,Wharton
-100.538097,30.89661056,Schleicher
-101.3572412,34.96522076,Armstrong
-97.78194654,30.33423319,Travis
-102.5430907,31.86908156,Ector
-99.24637282,29.74724753,Bandera
-101.0500699,31.82786516,Sterling
-97.16546961,28.32681413,Refugio
-101.3542037,35.40346802,Carson
-99.10826004,28.86726774,Frio
-94.8120925,30.15153187,Liberty
-96.3022943,30.6610425,Brazos
-99.74892716,30.48676251,Kimble
-97.7991883,31.39087578,Coryell
-96.77781862,32.76653746,Dallas
-98.59552736,31.49524259,Mills
-96.64708119,28.48966896,Calhoun
-97.72466993,33.67496328,Montague
-98.73834895,26.56212627,Starr
-96.97176602,28.79640594,Victoria
-100.812475,35.40130666,Gray
-98.51966309,29.44884523,Bexar
-101.8929556,35.83768863,Moore
-99.86413426,31.32645211,Concho
-102.0764533,30.22502597,Terrell
-98.83612016,32.73584155,Stephens
-95.98768942,30.01093722,Waller
-96.47248134,32.04695429,Navarro
-99.35403034,32.7360276,Shackelford
-94.1708778,29.88425832,Jefferson
-95.21841437,33.17550691,Franklin
-98.94627245,30.31800246,Gillespie
-97.21247642,33.638465,Cooke
-103.1024636,31.509424,Ward
-99.89003941,32.30138229,Taylor
-98.68387398,30.70566579,Llano
-96.08550014,33.123531,Hunt
-100.4060989,32.3034718,Nolan
-100.7798961,34.07409017,Motley
-98.208958,33.78379717,Clay
-97.36660504,32.37899918,Johnson
-101.8160235,33.17685487,Lynn
-101.15171,29.89300587,Val Verde
-101.8205745,33.6101944,Lubbock
-100.2700733,34.96498493,Collingsworth
-95.99554292,31.29655719,Leon
-97.35666976,29.08201599,De Witt
-100.8140501,34.96540246,Donley
-94.94132011,32.7362827,Upshur
-94.39021394,30.33238431,Hardin
-102.5156425,31.42846287,Crane
-95.50301411,30.30022409,Montgomery
-100.2704628,35.83750155,Hemphill
-101.520742,31.8694238,Glasscock
-98.21722756,32.23640361,Erath
-99.76102001,28.86530621,Zavala
-100.5298747,31.88849293,Coke
-93.74462993,30.78619977,Newton
-97.94850308,29.58257236,Guadalupe
-94.35725239,32.79797929,Marion
-101.8968527,34.96594288,Randall
-102.8278792,33.17293501,Yoakum
-96.93579511,31.25317017,Falls
-99.77871109,33.97408519,Foard
-102.6048162,34.96602014,Deaf Smith
-96.97683495,30.78625299,Milam
-100.2697634,35.40129002,Wheeler
-95.38206498,32.78634374,Wood
-98.27814516,29.80816362,Comal
-99.2263026,30.71742293,Mason
-96.62109399,30.49246139,Burleson
-95.16683273,30.57948905,San Jacinto
-96.27791829,29.88711223,Austin
-98.18088681,26.396627,Hidalgo
-94.30552858,32.16222886,Panola
-98.12474493,28.3514375,Live Oak
-98.24142711,31.19627791,Lampasas
-99.16860134,27.00089072,Zapata
-104.5177421,31.44709817,Culberson
-94.73205137,33.11368507,Morris
-101.2984496,33.17991074,Garza
-101.8269082,34.07051782,Hale
-98.03104087,30.05782657,Hays
-100.4620678,31.4044442,Tom Green
-98.81754295,31.15520543,San Saba
-95.26909511,32.37514553,Smith
-101.8933822,36.27765824,Sherman
-99.35016969,30.06153035,Kerr
-100.9211128,32.30636024,Mitchell
-97.74116811,28.41736675,Bee
-99.87850599,32.73970429,Jones
-100.3144638,28.74260943,Maverick
-98.99989649,31.77432313,Brown
-102.784594,34.53014507,Parmer
-100.7791031,33.18284492,Kent
-97.51859857,28.00922186,San Patricio
-101.3545624,36.27753179,Hansford
-99.74144313,33.60614755,Knox
-95.79347545,32.87004212,Rains
-96.58056718,31.54541898,Limestone
-95.13551682,31.0885069,Trinity
-97.60105467,30.64834941,Williamson
-102.3430919,33.60750375,Hockley
-102.0430005,31.36853957,Upton
-100.7788138,33.61663428,Dickens
-97.85960621,28.90493782,Karnes
-101.9512464,32.30605847,Martin
-103.0484794,31.85008609,Winkler
-98.50889672,27.68133382,Duval
-94.16809762,31.39427005,San Augustine
-98.71160511,29.9446397,Kendall
-97.29116473,32.77185236,Tarrant
-96.99258951,28.12709562,Aransas
-100.4178441,29.35000302,Kinney
-94.6158776,31.61604108,Nacogdoches
-96.52630821,29.6208542,Colorado
-101.4317533,32.7436916,Borden
-99.11008331,29.35520493,Medina
-101.4118364,30.72291931,Crockett
-97.63437613,31.90050476,Bosque
-100.2075664,34.52929257,Childress
-94.60891308,29.73912276,Chambers
-96.40780584,32.89786769,Rockwall
-97.77456553,32.22229511,Somervell
-94.611742,31.25475875,Angelina
-99.82215881,29.83182711,Real
-95.42225367,31.31764137,Houston
-95.77090562,29.52763253,Fort Bend
-104.1403539,30.71559322,Jeff Davis
-99.33170164,27.76102524,Webb
-97.80472194,32.77852261,Parker
-97.83280338,32.43107878,Hood
-98.39974086,30.26636128,Blanco
-98.21874127,27.0315669,Brooks
-101.2085769,34.53041048,Briscoe
-97.65444124,33.21585061,Wise
-95.65251774,31.81321543,Anderson
-95.98533866,28.86711039,Matagorda
-100.8135689,35.8385577,Roberts
-95.92818441,30.96564645,Madison
-96.57248871,33.18789055,Collin
-102.2617608,34.53000304,Castro
-95.98557334,30.54360689,Grimes
-99.1034773,28.34621032,La Salle
-101.8940484,35.40128927,Potter
-95.57110784,33.66746186,Lamar
-94.02495849,30.74391255,Jasper
-95.8364862,32.56368961,Van Zandt
-94.96474975,29.39424415,Galveston
-100.9824126,31.30393203,Irion
-95.0501886,33.62074539,Red River
-100.2786983,34.0776571,Cottle
-100.5382263,30.49747152,Sutton
-97.31187705,30.10353518,Bastrop
-104.2405552,29.99977786,Presidio
-102.7235743,30.78100044,Pecos
-106.2352229,31.7686226,El Paso
-93.89653794,30.12807126,Orange
-98.52741302,28.89418432,Atascosa
-99.76203107,29.35669829,Uvalde
-98.68781396,33.17670764,Young
-97.61983479,29.83677935,Caldwell
-98.31299522,32.75316856,Palo Pinto
-95.16515234,31.83695632,Cherokee
-94.42324298,33.44572786,Bowie
-101.9476136,32.74258137,Dawson
-98.11066654,31.70479181,Hamilton
-101.734951,34.53064989,Swisher
-105.3869428,31.45613738,Hudspeth
-102.8285264,33.60410808,Cochran
-102.8299069,34.0684915,Bailey
-99.24089568,34.08044953,Wilbarger
-94.82994949,30.79250963,Polk
-95.39782106,29.85967144,Harris
-94.97860185,32.97321771,Camp
-98.1725509,33.23345819,Jack
-102.6029949,35.40497586,Oldham
-98.8325713,32.32739258,Eastland
-94.81723694,32.48036452,Gregg
-97.51499968,26.13847728,Cameron
-96.10656755,33.59396919,Fannin
-96.91968047,29.87683207,Fayette
-95.56414173,33.14933822,Hopkins
-100.815653,36.27846334,Ochiltree
-98.68783437,33.61539176,Archer
-102.6028835,35.83996755,Hartley
-100.6809876,34.53074134,Hall
-94.37155736,32.54814898,Harrison
-99.97624799,31.83105393,Runnels
-97.11681154,33.205574,Denton
-98.08621015,29.17315896,Wilson
-100.4019503,32.74305155,Fisher
