county,type
Anderson,Non-rural
Angelina,Non-rural
Bastrop,Non-rural
Bell,Non-rural
Bexar,Non-rural
Bowie,Non-rural
Brazoria,Non-rural
Brazos,Non-rural
Cameron,Non-rural
Cherokee,Non-rural
Collin,Non-rural
Comal,Non-rural
Coryell,Non-rural
Dallas,Non-rural
Denton,Non-rural
Ector,Non-rural
El Paso,Non-rural
Ellis,Non-rural
Fort Bend,Non-rural
Galveston,Non-rural
Grayson,Non-rural
Gregg,Non-rural
Guadalupe,Non-rural
Hardin,Non-rural
Harris,Non-rural
Harrison,Non-rural
Hays,Non-rural
Henderson,Non-rural
Hidalgo,Non-rural
Hood,Non-rural
Hunt,Non-rural
Jefferson,Non-rural
Johnson,Non-rural
Kaufman,Non-rural
Kerr,Non-rural
Liberty,Non-rural
Lubbock,Non-rural
Maverick,Non-rural
McLennan,Non-rural
Medina,Non-rural
Midland,Non-rural
Montgomery,Non-rural
Nacogdoches,Non-rural
Nueces,Non-rural
Orange,Non-rural
Parker,Non-rural
Potter,Non-rural
Randall,Non-rural
Rockwall,Non-rural
Rusk,Non-rural
San Patricio,Non-rural
Smith,Non-rural
Starr,Non-rural
Tarrant,Non-rural
Taylor,Non-rural
Tom Green,Non-rural
Travis,Non-rural
Van Zandt,Non-rural
Victoria,Non-rural
Walker,Non-rural
Waller,Non-rural
Webb,Non-rural
Wichita,Non-rural
Williamson,Non-rural
Wise,Non-rural
Andrews,Rural
Aransas,Rural
Archer,Rural
Armstrong,Rural
Atascosa,Rural
Austin,Rural
Bailey,Rural
Bandera,Rural
Baylor,Rural
Bee,Rural
Blanco,Rural
Borden,Rural
Bosque,Rural
Brewster,Rural
Briscoe,Rural
Brooks,Rural
Brown,Rural
Burleson,Rural
Burnet,Rural
Caldwell,Rural
Calhoun,Rural
Callahan,Rural
Camp,Rural
Carson,Rural
Cass,Rural
Castro,Rural
Chambers,Rural
Childress,Rural
Clay,Rural
Cochran,Rural
Coke,Rural
Coleman,Rural
Collingsworth,Rural
Colorado,Rural
Comanche,Rural
Concho,Rural
Cooke,Rural
Cottle,Rural
Crane,Rural
Crockett,Rural
Crosby,Rural
Culberson,Rural
Dallam,Rural
Dawson,Rural
Deaf Smith,Rural
Delta,Rural
DeWitt,Rural
Dickens,Rural
Dimmit,Rural
Donley,Rural
Duval,Rural
Eastland,Rural
Edwards,Rural
Erath,Rural
Falls,Rural
Fannin,Rural
Fayette,Rural
Fisher,Rural
Floyd,Rural
Foard,Rural
Franklin,Rural
Freestone,Rural
Frio,Rural
Gaines,Rural
Garza,Rural
Gillespie,Rural
Glasscock,Rural
Goliad,Rural
Gonzales,Rural
Gray,Rural
Grimes,Rural
Hale,Rural
Hall,Rural
Hamilton,Rural
Hansford,Rural
Hardeman,Rural
Hartley,Rural
Haskell,Rural
Hemphill,Rural
Hill,Rural
Hockley,Rural
Hopkins,Rural
Houston,Rural
Howard,Rural
Hudspeth,Rural
Hutchinson,Rural
Irion,Rural
Jack,Rural
Jackson,Rural
Jasper,Rural
Jeff Davis,Rural
Jim Hogg,Rural
Jim Wells,Rural
Jones,Rural
Karnes,Rural
Kendall,Rural
Kenedy,Rural
Kent,Rural
Kimble,Rural
King,Rural
Kinney,Rural
Kleberg,Rural
Knox,Rural
La Salle,Rural
Lamar,Rural
Lamb,Rural
Lampasas,Rural
Lavaca,Rural
Lee,Rural
Leon,Rural
Limestone,Rural
Lipscomb,Rural
Live Oak,Rural
Llano,Rural
Loving,Rural
Lynn,Rural
Madison,Rural
Marion,Rural
Martin,Rural
Mason,Rural
Matagorda,Rural
McCulloch,Rural
McMullen,Rural
Menard,Rural
Milam,Rural
Mills,Rural
Mitchell,Rural
Montague,Rural
Moore,Rural
Morris,Rural
Motley,Rural
Navarro,Rural
Newton,Rural
Nolan,Rural
Ochiltree,Rural
Oldham,Rural
Palo Pinto,Rural
Panola,Rural
Parmer,Rural
Pecos,Rural
Polk,Rural
Presidio,Rural
Rains,Rural
Reagan,Rural
Real,Rural
Red River,Rural
Reeves,Rural
Refugio,Rural
Roberts,Rural
Robertson,Rural
Runnels,Rural
Sabine,Rural
San Augustine,Rural
San Jacinto,Rural
San Saba,Rural
Schleicher,Rural
Scurry,Rural
Shackelford,Rural
Shelby,Rural
Sherman,Rural
Somervell,Rural
Stephens,Rural
Sterling,Rural
Stonewall,Rural
Sutton,Rural
Swisher,Rural
Terrell,Rural
Terry,Rural
Throckmorton,Rural
Titus,Rural
Trinity,Rural
Tyler,Rural
Upshur,Rural
Upton,Rural
Uvalde,Rural
Val Verde,Rural
Ward,Rural
Washington,Rural
Wharton,Rural
Wheeler,Rural
Wilbarger,Rural
Willacy,Rural
Wilson,Rural
Winkler,Rural
Wood,Rural
Yoakum,Rural
Young,Rural
Zapata,Rural
Zavala,Rural